"01/05/2023","-45.00","","","FITNESS CLASS"
"01/10/2023","-120.00","","","TECH GADGET"
"01/15/2023","-25.00","","","ART SUPPLIES"
"01/20/2023","-90.00","","","DINNER PARTY EXPENSES"
"01/25/2023","-15.00","","","MOVIE RENTAL"
"01/30/2023","-35.00","","","SNOWBOARD RENTAL"
"02/05/2023","-30.00","","","SPA TREATMENT"
"02/10/2023","-80.00","","","HOME DECOR"
"02/15/2023","-20.00","","","MAGAZINE SUBSCRIPTION"
"02/20/2023","-60.00","","","COOKING CLASS"
"02/25/2023","-40.00","","","CONCERT MERCHANDISE"
"02/29/2023","-50.00","","","LEAP YEAR CELEBRATION"
"03/05/2023","-15.00","","","MORNING SNACKS"
"03/10/2023","-200.00","","","WEEKEND GETAWAY"
"03/15/2023","-10.00","","","ONLINE COURSE"
"03/20/2023","-75.00","","","SPORTING EVENT TICKETS"
"03/25/2023","-55.00","","","HOME REPAIRS"
"03/30/2023","-18.00","","","PIZZA NIGHT"
"04/05/2023","-40.00","","","BRUNCH WITH FRIENDS"
"04/10/2023","-150.00","","","NEW SHOES"
"04/15/2023","-30.00","","","CRAFT SUPPLIES"
"04/20/2023","-80.00","","","ROAD TRIP EXPENSES"
"04/25/2023","-20.00","","","DIGITAL SUBSCRIPTION"
"04/30/2023","-45.00","","","BEACH DAY EXPENSES"
"05/05/2023","-25.00","","","LOCAL FARMER'S MARKET"
"05/10/2023","-100.00","","","VINTAGE SHOPPING"
"05/15/2023","-15.00","","","ICE CREAM DATE"
"05/20/2023","-70.00","","","HOME OFFICE UPGRADE"
"05/25/2023","-35.00","","","COMEDY SHOW TICKETS"
"05/30/2023","-10.00","","","SNACKS FOR MOVIE NIGHT"
"06/05/2023","-50.00","","","ART GALLERY ENTRY"
"06/10/2023","-120.00","","","OUTDOOR EQUIPMENT"
"06/15/2023","-18.00","","","PIZZA AND GAME NIGHT"
"06/20/2023","-90.00","","","SPA DAY WITH FRIENDS"
"06/25/2023","-60.00","","","NEW BOOKS"
"06/30/2023","-22.00","","","CASUAL DINING"
"07/05/2023","-35.00","","","HIKING GEAR"
"07/10/2023","-80.00","","","HOME PLANTS"
"07/15/2023","-12.00","","","MUSEUM ADMISSION"
"07/20/2023","-65.00","","","SWIMMING POOL PASS"
"07/25/2023","-28.00","","","GOURMET COFFEE"
"07/30/2023","-40.00","","","BARBECUE SUPPLIES"
"08/05/2023","-60.00","","","THEME PARK TICKETS"
"08/10/2023","-130.00","","","SPA AND WELLNESS"
"08/15/2023","-22.00","","","CONCERT STREAMING"
"08/20/2023","-75.00","","","HOME THEATER UPGRADE"
"08/25/2023","-18.00","","","LOCAL FOOD FESTIVAL"
"08/30/2023","-45.00","","","BIKE ACCESSORIES"
"09/05/2023","-20.00","","","ART EXHIBITION"
"09/10/2023","-90.00","","","AUTUMN WARDROBE"
"09/15/2023","-15.00","","","CAFE WRITING SESSION"
"09/20/2023","-70.00","","","COOKING CLASS"
"09/25/2023","-32.00","","","MOVIE NIGHT AT HOME"
"09/30/2023","-25.00","","","LOCAL CRAFT MARKET"
"10/05/2023","-45.00","","","APPLE ORCHARD VISIT"
"10/10/2023","-110.00","","","FALL FASHION SHOPPING"
"10/15/2023","-28.00","","","PUMPKIN PATCH ENTRY"
"10/20/2023","-80.00","","","HOME DECOR FOR FALL"
"10/25/2023","-15.00","","","CIDER AND DOUGHNUTS"
"10/30/2023","-35.00","","","HALLOWEEN COSTUME"
"11/05/2023","-50.00","","","PRE-HOLIDAY GROCERIES"
"11/10/2023","-120.00","","","ELECTRONICS SALE"
"11/15/2023","-18.00","","","PIZZA AND GAME NIGHT"
"11/20/2023","-75.00","","","FRIENDSGIVING DINNER"
"11/25/2023","-40.00","","","BLACK FRIDAY SHOPPING"
"11/30/2023","-22.00","","","COFFEE AND DESSERT"
"12/05/2023","-60.00","","","HOLIDAY DECORATIONS"
"12/10/2023","-150.00","","","CHRISTMAS GIFTS"
"12/15/2023","-30.00","","","BAKING INGREDIENTS"
"12/20/2023","-100.00","","","WINTER CLOTHING"
"12/25/2023","-50.00","","","CHRISTMAS DINNER"
"12/31/2023","-75.00","","","NEW YEAR'S EVE PARTY"
